,description,Product Description,ASIN,Manufacturer
12,"[' PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.  ', ' LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.  ', ' EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.  ', ' DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.  ', "" BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.  ""]",,,
13,[],,,
14,"[' Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo  ', ' Dimensions : LxWxH- 31 x 18 x 47 cms  ', ' Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)  ', ' No. of Compartments : 3 with full padding  ', ' NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)  ']",,,
15,[],,,
16,[],,,
17,[],,,
18,"[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']",,,
19,[],,,
20,"[' Multi-Organized Compartments and Pockets: One separate padded laptop compartment holds more then 15.6 Inchs Laptop. One spacious storage compartment for Daily necessities, electronics accessories, like pen, keys, Head phones, Books, Small daily items, etc.. Front compartment with many pockets which is perfect for some quick-access objects making your essentials organized and easy to find.  ', ' Laptop Backapck bag for men casual  ', ' backapck for men  ', ' men backpack  ', ' men bag  ']",,B0BQJLHLXZ,
21,"[' Care Instructions: Hand Wash Only  ', ' SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 15 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort  ', ' Compact and lightweight travel backpack can be easily placed under the airline seat.  ', ' COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men? and women?  ', ' Slim laptop backpack with spacious room to keep everything organized and easy to find; Padded back and straps make the business backpack comfortable to wear.  ', ' Anti Theft- This bag comes with an anti theft secret pocket on the backside to keep money / passport and other small valuables safe while travelling as these pockets are not accessible when you are wearing the backpack.  ']",,B09WJ16LPN,ABU GROUP OF INDUSTRIES
22,"[' FUNCTIONALITY WITH STYLE: The Wenger 17.5"" ScanSmart Laptop Backpack allows you to breeze through airport security with ease as it offers superior protection for your laptop at airport security controls and a dedicated tablet pocket. Travel with confidence with your valuable items securely stored in your well-built backpack.  ', ' OPTIMUM COMFORT: Reinforced soft-grip grab handle for easy carrying. The Airflow back padding keeps wearer cool. The Shock-absorbing shoulder straps provides maximum comfort. Plethora of features to make you a distinguished traveler.  ', ' COMPREHENSIVE FEATURES: An ample main compartment integrates a mesh adapters zip pocket for cords, chargers and other tech accessories. While weaving through airport traffic, grab a cool drink from its side zip pockets. Featuring a convenient front pocket and an organizer compartment with multiple divider pockets, leave your MetroCard, smartphone, and supplies ready whenever you are.  ', ' TECHNICAL SPECIFICATIONS: Dimensions: 46 x 24 x 35 cm Weight: 0.9 kg Capacity: 30 L  ', ' 5 YEAR WENGER WARRANTY: Our products undergo strict quality controls & rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 5-year warranty.  ']","Wenger retained its distinct identity after the takeover by Victorinox Group in 2005. The precision, functionality, thoughtfulness & attention to detail is what underlines the Wenger collection of watches and travel gear which draws on a winning combination of Swiss engineering & reliability. Created in modern designs & using high-grade material, Wenger products are for those who want to count on a Swiss brand at a reasonable cost.We invariably focus on quality, always innovating and adding much joy to ensure that our designs will become your best buddy while travelling. So, if you are looking for a lightweight yet durable suitcase, a backpack or a travel accessory with several cool features and extra packing space, we promise you’ll find one that ticks all of your boxes within our range! So, let's start packing, shall we?Whether packing for everyday routine, vacation time, college or office, or a getaway trip with your friends, our backpacks ensure you're well-equipped and on-trend. We have a quality backpack for the style-savvy traveller in you. When you’re ready to move up to a different league of organization in a backpack, this is the one you want.What sets us apart?A bag that reflects your life!Now breeze through airport security with ease as it offers superior protection for your laptop at airport security controls and a dedicated tablet pocket. Travel with confidence with your valuable items securely stored in your well-built backpack.Laptop & Tablet PocketPadded laptop compartment with an essentials organizer that keeps power cords, chargers & business cards neat & accessible. Keep your laptop & tablet secure in its own convenient pocket.Stay OrganizedAn ample main compartment integrates a mesh adapters zip pocket for cords, chargers and other tech accessories. While weaving through airport traffic, grab a cool drink from its side zip pockets.Read moreKey FeaturesOptimum ComfortPadded grab handle provides maximum comfort when carrying the backpack by hand. Quickly tighten or loosen the shoulder straps to your desired fit with these convenient thumb-ring adjusters. & Airflow back padding keeps the wearer cool.Dimensions & MaterialDimesions: 46 x 24 x 35 cmWeight: 0.9 kgCapacity: 30 LAgile. Up-to-date. Swiss heritage.Wenger, a renowned Swiss Company since 1893, has a history developed by a passion that combines the reliability & precision of Swiss quality with innovative designs. The brand retained its distinct identity after the takeover by Victorinox in 2005.Read more",B09V1GJ7D6,"Victorinox, Victorinox India Pvt. Ltd - +91 22 62628888"
23,"[' Made with strong and premium 450D Polyester  ', ' Max padded 15.4"" Laptop compartment  ', ' Cool and stylish looks  ', ' Unique front quick access mesh pockets  ', ' Large front pocket for extra convenience  ']",,B0BP1QM6W5,"Backpack International Pvt Ltd, Backpack International Pvt Ltd"
24,[],,,
25,"[' Durable Material - Travel Duffle Bag Is Made Of ,Durable Material.; Separate Shoes Compartment - Built-In Extra Shoes Compartment With Exterior Zippers To Keep Your Shoes And Clean Sport Gears Separate.  ', ' Multi-Purpose & Any Occasions - Perfect Duffle Bag For Hiking, Family Holiday, Vacation, Sports, A Short Trip, Gym, Work, Beach, Used As A Overnight Bag, A Short Journey Bag, A Weekender Bag, Gym Bag, Sports Duffle Bag.  ', ' Adjustable Shoulder Straps - Comfortable And Adjustable Shoulder Strap  ', ' Abundance Of Storage - Large Capacity,Meet Your Requirement For Sure And Keep Your Stuff In Order. What An Amazing Design For Sport Bag!  ', ' Water Resistance Level: Water Resistant; Handle Type: Web Handle; Color Name: Grey  ']",,,
26,"[' Strong stitching at major stress points provide long-lasting durability against daily activities  ', ' Mesh side water bottle pocket. Adjustable shoulder strap.  ', ' Main large compartment with double zip closure. Tough high durability fabric  ', ' High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes  ', ' Comes in attractive color combinations.  ']",,,
27,[],,,
28,"[' Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.  ', ' Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls  ', ' Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.  ', ' Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.  ', ' Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.  ']",,,
29,"[' Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.  ', ' Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)  ', ' Number of compartments: 1; Compatible Laptop Size : 15.4  ', ' Warranty Type: Manufacturer; 1 Year from the date of purchase  ', ' Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper  ']",,,
30,"[' Suitable for a short business trip or a quick weekend getaway. Size In inches?17""L*4.5""W*12.4""H. weight: 800grm  ', ' Laptop padding? The laptop padding fits 15.6 inch laptop for business travel. Other compartment fits 17inch Laptop. Large capacity and front and interior pockets organization for all your business needs.  ', ' Removable, adjustable padded shoulder strap  ', ' HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.  ', ' PERFECT GIFT :With a mutlipurpose use and a classy distressed Vintage inspired look which never goes out of style , This bag is a great gift idea for Fathers Day , Birthdays , Valentines Day , Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift . Makes a great gift for professionals, artists , students and all sorts of officials. The bag can be used as a Leather messenger bag for men and women ,laptop bags briefcase , college bag, meeting bag, gift idea  ']",,,
31,[],,,
32,"[' Compartment: Outside 4 compartments including 2 water bottle slot, 1 buckle for keeping quick access belonging, Interior Key Chain Holder, Interior Compartment, Computer Interlayer, Interior Zipper Pocket, Interior Slot Pocket, side pocket for water bottle, Cell Phone Pocket, large main pocket. Multi-layer pocket and storage space, Back pouch for antitheft zipper pocket, Multifunction designs fits for 15.6-inch laptop up to 17-inch laptop.   ', ' Thick back Air mesh cushion supports your spinal during excess weight with air cushion belt carrying system easy to carry on shoulder   ', ' Water resistance material protecting your electronic devices.   ', ' Anti-theft zip at back protecting your electronic gadgets and cards and wallets protects your laptop and other electronic devices, External USB charging with earphone hole.; Use in daily life from office to gym to travelling.; Special Features: Earphone Cord Support; Strap Type: Adjustable; Age Range Description: Adult   ', ' Pattern Name: Solid   ']","Red LemonPremium Quality , Affordable RatesPrevious pageRED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.Travel Backpack Duffle Bag· Multi-functional Storage 3 in 1 Duffle Bag· High Capacity with Separate Shoe Compartment· Premium MaterialLaptop BackpackVisit the StoreLaptop BackpackVisit the StoreRed Lemon Sling BagsVisit the StoreMacbook HardcasesVisit the StoreRed Lemon T1 Stylus Pen• UPGRADED NIB & ULTRA-HIGH PRECISION• PALM REJECTION - improved accuracy• TILT FUNCTION & MAGNETIC ADSORPTIONMessenger BagsVisit the StoreLaptop SleevesVisit the StoreLaptop & Phone StandsVisit the StoreTravel OrganizersVisit the StoreMouse Pad/ Mouse PouchVisit the StoreNext pageTSPARK Red Lemon BG1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and WomenCompartment: Outside 4 compartments including 2 water bottle slots, 1 buckle for keeping quick access belonging, Interior Key Chain Holder, Interior Compartment, Computer Interlayer, Interior Zipper Pocket, Interior Slot Pocket, side pocket for water bottle, Cell Phone Pocket, large main pocket. Multi-layer pocket and storage space, Back pouch for antitheft zipper pocket, Multifunction designs fit for 15.6-inch laptops up to 17-inch laptops.Age Range Description: AdultWater resistance material protects your electronic devices.Thick back Air mesh cushion supports your spine during excess weight with an air cushion belt carrying system easy to carry on the shoulderAnti-theft zip at back protects your electronic gadgets and cards and wallets protect your laptop and other electronic devices, External USB charging with earphone hole.; Use in daily life from the office to the gym toADJUSTABLE STRAPThe adjustable strap ensures comfort for carrying it on your shoulder.MANY COMPARTMENTThese compartments carrying heavy items are Made with strong yet lightweight polyester fabric with heavy zippers.STRONG ZIPPERSMade with strong yet lightweight fabric with strong metal zippers.Read moreLarge-capacity backpackThis is a large-capacity backpack for men. It has main compartments to hold your accessories and belonging ensuring you are equipped sufficiently while traveling. This backpack has been developed in soft and sturdy fine polyester material with a charcoal black finish to ensure you take style wherever you go, it is tough and durable to endure all types of conditions. The bag is water resistant and is provided with 3 sufficiently spaced main compartments to hold your accessories and belonging ensuring you are equipped sufficiently while traveling also it has additional interior pockets for placing additional items.Traveling Special FeatureTraveling.; Special Features: Earphone Cord SupportStrap Type: Adjustable",B082MKHDJ1,
33,"[' Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,   ', ' Water Resistant; 2 compartments and 6 pockets Backpack with glossy finis; Separate laptop compartment   ', ' Internal compartments with organizer pockets and internal divider for organization   ', ' Pocket Description: Utility Pocket; Age Range Description: Adult; Closure Type: Zipper Snap   ', ' Pattern Name: Solid; Compartment Description: Greater Than 17 Inches; Warranty Description: 1. Year Manufacturer Warranty   ']","HEROZ Hammer Unisex Nylon 45 L Travel Laptop BackpackThis grey and green unisex backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.Read moreSpecificationsHas a carrying capacity of 45 litres, and dimensions of 53 x 33 x 29 centimeters. Weighing at 989 gms, the bag is made out of durable PU coated polyester fabric and double dotted waterproof polyester for protection of all manner.Style and SubstanceThe grey color with green undertones gives a neutral look and an advantage over excess dust collection. 2 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.Comfort FirstThe padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.Read more",,‎Heroz
34,"[' Outer Material: Polyester, Color: Black;Water resistant  ', ' Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH)  ', ' Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches  ', ' Warranty type: Manufacturer; 1 year  ', ' Closure Type: Zipper; Age Range Description: Adult  ']",,,
35,[],,,
36,[],,,
37,[],,,
38,[],,,
39,[],,,
40,[],,,
41,[],,,
42,"[' Care Instructions: Hand Wash Only  ', ' Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop   ', ' Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry   ', ' Front Organizer compartments for pens, keys, and cell phone   ', ' Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket   ']","Cosmus Madison 2 compartments Large Navy Blue / Black /Grey/Royal Blue Laptop backpackPerfect for daily commuter or occasional traveller, this  strong backpack is loaded with pockets/compartments to hold all your  important documents.15.6 incheSome silent features are -1 :-  Laptop compartment2 :- Capacity of 33L and can easily carry weight3 :- 2 big compartments and 2 external Front pockets.4 :- Two sided pockets & water bottle holder5 :- Waterproof & long lasting.Padded strapsThis travel laptop backpack suits your style to look modern and fashionable & is very comfortable to  carry. Thick and well padded shoulder straps makes the bag feel lighter  while carrying. Breathable and adjustable shoulder straps relieve the  stress on your shoulders and gives your back comfort and very a good  support. A well furnished and sturdy top handle ensures comfort for long  hours carrying.Read moreCushioned and Adjustable StrapsThe bag has been designed with cushioned shoulder straps that do not  cause discomfort when carrying the bag for long. Besides, the straps are  also adjustable to provide each individual with the comfort they need.Read moreLaptop compartmentSatellite LRead moreLock TypeButterfly lock is the lock type for this backpack. This lock provides enhanced security.his backpack consists of 2 compartments. Therefore, you can carry all your essentials without any worries.This backpack comes with versatile usage facility. This backpack can also be used for carrying papers, documents, bottles, etc.Read more",B078JVT384,"Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India – 400059 Mobile: +91 8767008844"
